edge.fromid,edge.toid,edge.distance
406,20,336.00000022807274
836,460,391.30712432862106
740,973,539.8388996027825
796,100,564.9522183554692
428,429,172.8674427025458
577,138,171.99801200662975
75,598,261.64597999329624
410,207,168.99979490468795
935,904,0.8040368225216044
466,178,346.9831225194899
388,194,106.86734774317942
124,228,444.9669934752905
254,641,451.7514304660605
885,950,3896.4255655862785
13,714,401.2243981955595
296,793,15.522764639374172
131,447,429.38546013018527
419,287,386.4736553948208
76,856,135.70544712953497
313,98,594.1199499222696
923,903,853.1083943020196
488,473,595.3806949051243
742,497,297.8296925565559
615,173,617.8276499726019
574,409,480.0000004281126
420,708,625.0910185065292
210,241,170.9567055517564
5,379,531.8417756877161
